[2018-11-27 22:16:35] main.ERROR: Error: Application is not installed yet.  [] []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2018-11-27 22:30:07] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
